Country,renewable_energy_percentage,Alternative and nuclear energy (% of total energy use),fossil_fuel_energy_percentage,Energy use (kg of oil equivalent per capita),CO2 emissions (kt),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),GDP (current US$),"School enrollment, primary (% gross)",Employment in industry (% of total employment) (modeled ILO estimate),Population growth (annual %),Population
Algeria,0.1,0.0301060361261635,99.9779167201605,1333.13606896647,161563.0,3.25,239899491127.742,108.761642456055,30.850998486007,1.55401932380535,45606480.0
Angola,52.9,2.54884001929019,48.3055930097329,540.864115629351,19814.5,2.5,84722957642.3757,88.5749969482422,5.67396733353659,3.03099631037773,36684202.0
Argentina,9.2,5.50150364266138,87.7224074796892,2029.92282543737,154535.9,3.5,640591410663.883,110.156112670898,19.9549046855485,0.903771167435598,46654581.0
Armenia,9.1,25.7182641321184,74.5618657137382,1023.8099192714,6746.6,3.0,24212134631.064,92.9023818969727,14.0388972734158,-0.0899173371650819,2777970.0
Australia,12.3,2.15439420000884,89.6256301102374,5483.81640154023,378996.8,3.0,1723827215334.71,99.1329879760742,18.636641693824,2.37089971050094,26638544.0
Austria,36.0,12.2128791477895,65.6618219894727,3800.29942035468,59142.4,3.5,516034144115.95,100.77562713623,26.3641781755636,0.996275813585943,9132383.0
Azerbaijan,1.3,0.572046301627223,98.3659900265556,1502.07816841371,34305.0,3.0,72356176470.5882,99.8082962036133,14.9167966510074,-0.288343752912047,10112555.0
Bahrain,0.0,0.0,99.3658471741274,10798.12284633,32470.2,3.5,43205000000.0,92.3441925048828,34.8175789818714,0.897717864437942,1485509.0
Bangladesh,25.0,0.153500381699064,73.7689379450086,227.128103107169,85493.1,3.0,437415331040.994,117.658996582031,21.8789546966471,1.02746498713519,172954319.0
Belarus,8.2,0.0539210619709001,92.4403750165292,2936.57754684202,54801.5,2.5,71857382745.6066,94.7119674682617,30.357774177398,-0.540824986374776,9178298.0
Belgium,11.7,15.110327401377,75.8707843536824,4687.7870492938,85364.1,3.5,632216577075.109,101.821136474609,19.0653732642267,1.16366497533437,11822592.0
Benin,54.5,0.0,36.7245813253448,403.911541234143,7980.4,3.5,19673284686.0023,113.04891204834,22.2902895845298,2.66008514236957,13712828.0
Bolivia,12.8,1.97497927438316,84.1532899868775,763.166338844225,18375.3,3.5,45849832906.4139,99.5986480712891,20.5505997841542,1.336412296715,12388571.0
Bosnia and Herzegovina,36.6,4.27387135851599,77.5220449672342,2190.94343764947,20946.8,3.5,27054889362.8852,87.9420013427734,33.485071485161,-0.70384174302478,3210847.0
Botswana,27.4,0.00316580576382795,74.6879840737883,1201.80359373839,5763.687,2.75,19395765126.3127,93.7229537963867,15.7000832289161,1.69845730907796,2675352.0
Brazil,46.5,10.8090873277871,59.1075326389753,1490.42584610757,414138.8,3.5,2173665655937.27,103.4716796875,20.4917034779706,0.513716985680443,216422446.0
Brunei Darussalam,0.0,0.00483966771741855,99.9951884698856,8529.72956107677,9588.0,2.25,15128292953.5098,97.5299987792969,24.1766001133481,0.781345833219508,452524.0
Bulgaria,20.4,25.8257119437689,71.0459225220269,2477.65540069696,34138.1,3.0,101584384672.786,87.2791290283203,30.0190420500865,-0.538593661595979,6430370.0
Cambodia,52.4,3.31926620677437,30.629081397544,418.583564577761,18652.8,3.5,31772759998.8571,109.958999633789,26.5674926215365,1.04996511061926,16944826.0
Cameroon,79.2,4.60075859598976,38.3178571912403,340.947735126012,9928.4,3.5,47945510090.0529,110.715507507324,15.3562785837307,2.59113967946452,28647293.0
Canada,23.8,19.770846389418,74.089062024806,7631.00172981006,516873.7,3.5,2140085567791.45,96.293083190918,19.1613479099063,2.93227401162387,40097761.0
Chile,24.2,5.72221215920605,74.6472122625678,2016.68746115024,84827.8,3.0,335533331669.219,100.192268371582,22.8051234695683,0.131811438677878,19629590.0
China,15.2,5.10701715020901,87.6704307681854,2224.35489845903,10944686.2,3.5,17794781986104.5,100.171730041504,32.1520079690103,-0.103794531589067,1410710000.0
Colombia,29.7,9.20354121922188,76.685692626894,728.56503307654,79057.6,3.0,363540156234.868,104.830467224121,20.3326580219522,0.406206101195742,52085168.0
"Congo, Dem. Rep.",96.3,2.35994627719993,5.3558141424822,377.718154819819,3025.6,3.0,66383287002.9969,122.393676757812,10.1822583962221,3.23230523620325,102262808.0
"Congo, Rep.",71.4,1.4287130347896,40.4806033834923,531.483695901664,7153.9,2.5,15321055818.3263,87.6686172485352,22.175051846976,2.25962565586274,6106869.0
Costa Rica,34.2,14.2087097279856,49.8802727339625,1012.68401052951,6967.4,3.0,86497941439.0174,107.611297607422,18.9690447309072,0.603176926750417,5212173.0
Cote d'Ivoire,58.2,0.79477671158237,26.4923300237552,603.372260421634,10894.9,4.0,78788828906.8634,93.7590026855469,10.4559435341061,2.49863016801663,28873034.0
Croatia,34.1,11.9438258123941,70.7036623421282,1897.84066540377,15626.9,3.0,82688842717.3926,95.9421997070312,28.3896529662913,-0.0633298852988127,3853200.0
Cuba,20.9,0.08539666404937,85.5964145599651,1032.39208946397,24327.8,3.0,107351800000.0,99.8729629516602,16.5836915659659,-0.158363803836215,11194449.0
Curacao,2.8,0.0,99.9999337203842,12650.8604378195,26736.2,4.0,3073840325.43285,123.561996459961,14.11305521899015,-1.43292207278827,147862.0
Cyprus,15.6,5.22696188749939,92.9062150260328,1676.21442741898,6771.8,3.5,32229622669.1951,99.1028137207031,17.154970297712,0.688799542570149,1260138.0
Czechia,17.2,18.9565725567366,77.7345870580784,3860.00296414044,88835.2,3.0,330858339871.686,99.8488922119141,36.4428857482671,1.87114719000125,10873689.0
Denmark,39.5,11.7489461107418,64.9270894675666,2816.61456539942,27356.5,3.5,404198757537.974,100.244453430176,19.0763472373379,0.741185515720057,5946952.0
Dominican Republic,14.8,2.34365695498142,86.5635959798664,743.245334252729,22881.3,3.0,121444279313.931,100.492286682129,20.2619494363353,0.923257649090989,11332972.0
Ecuador,18.9,6.21357961398596,86.8846603647343,888.621965893708,34431.0,3.0,118844826000.0,97.5341033935547,17.3482902486332,1.04712882938642,18190484.0
"Egypt, Arab Rep.",6.1,1.49971772834215,97.9289297878435,782.763111816384,210752.3,3.5,395926075163.006,91.5901794433594,28.3596695360133,1.54356509805617,112716598.0
El Salvador,21.9,6.30929352459028,48.4295873408768,654.780091105183,6376.3,3.5,34015620000.0,90.786003112793,23.4297676783067,0.449575546018594,6364943.0
Eritrea,80.7,0.0211211654953834,23.1334476987139,245.033060773148,706.4,2.0,2065001626.01626,72.036003112793,9.02411874742766,1.74549257972489,3748901.0
Estonia,38.0,0.933236763253142,13.0562153357344,4173.32658257102,7097.52,3.5,40744848827.9537,99.2638168334961,28.6218158832959,1.27794159737588,1366188.0
Ethiopia,90.6,1.18366988273577,6.56980662963724,484.960434707226,18098.0,3.5,163697927593.982,85.5350036621094,6.52341544161202,2.5187790536759,126527060.0
Finland,50.2,25.3513137210655,40.2079829899529,5924.70012488295,36329.9,3.0,300187202696.084,98.6190185546875,21.3954331758675,0.505513909563998,5584264.0
France,16.2,49.0615406348183,46.4879708722364,3692.01783331053,267154.7,3.5,3030904089607.9,102.696418762207,19.2561002968825,0.292221085514903,68170228.0
Gabon,91.3,1.21209887479637,22.7865163137582,2580.43831395807,5349.2,3.75,20516134388.6608,100.588996887207,16.1878744553377,1.97181513140581,2436566.0
Georgia,25.2,15.7463739341214,72.2095353380914,1180.27275264329,10255.0,3.0,30535530479.0227,103.414001464844,13.8207586891176,1.28099843092554,3760365.0
Germany,17.6,12.8636198591601,78.862551056755,3817.54941455461,603350.5,3.5,4456081016705.96,101.346549987793,26.8745922313803,0.813269249881238,84482267.0
Ghana,39.0,5.86864927919205,52.5430601292631,320.389640392564,19401.16,4.0,76370394412.4163,96.5331573486328,18.8648906143578,1.91170171695852,34121985.0
Gibraltar,0.0,0.0,99.5128172426986,6040.45975594725,125.9980465,3.0,1252294547.9820094,127.165351867676,23.7509464484627,0.119381069323213,32688.0
Greece,21.5,6.20248117731642,82.5746351336883,2182.07109345882,51002.2,3.25,238206312632.528,98.6386108398438,15.5585741937981,-0.631359846394221,10361295.0
Guatemala,62.1,2.56505551987625,37.3785969634422,863.568934549633,16865.2,3.0,102050473863.636,103.906227111816,22.012646729025,1.39900898821501,17602431.0
Haiti,76.7,0.0739733683419952,22.0158940416487,398.826533650125,3209.04,2.0,19850829757.7471,114.106979370117,12.3055837216456,1.19922882982183,11724763.0
Honduras,45.9,3.32795170548503,52.4793125284907,586.645633591978,8835.4,3.5,34400509852.0436,83.8010025024414,23.4388080007424,1.53082951071852,10593798.0
"Hong Kong SAR, China",0.4,0.0704687512613531,93.1728816200634,1970.48412753302,222839.4,3.0,382054574298.529,101.081039428711,14.0007468504173,2.55352466697343,7536100.0
Hungary,15.3,18.4514634352703,69.549793691078,2432.75179142028,44769.3,2.75,212388906458.724,101.455070495605,31.3761830756816,-0.552969965032594,9589872.0
Iceland,82.4,37.5169341332485,11.288868750735,17478.8930368937,1446.6,3.0,31020032583.1972,98.5672912597656,17.9865252926883,2.99067031992196,393600.0
India,34.9,2.66772054665755,73.5769790878008,630.900867833184,2200836.3,4.0,3549918918777.53,112.03099822998,26.1203240533855,0.805014301342575,1428627663.0
Indonesia,20.2,0.83857029181184,66.089475456589,880.12100202521,563197.0,3.0,1371171152331.16,100.644996643066,21.867968440679,0.735139895418266,277534122.0
"Iran, Islamic Rep.",0.9,0.908868457414736,99.0225805453018,2964.86030207072,616561.3,3.5,401504514718.718,104.484008789062,34.2378730492119,0.700188903168177,89172767.0
Iraq,1.1,0.330700641375957,95.9841767833015,1346.5494443986,163511.5,3.25,250842782139.464,103.738700866699,27.5153440168032,2.24105014081182,45504560.0
Ireland,12.7,4.80014899386715,85.3428197664443,2819.87585169324,33742.2,3.5,545629450403.735,99.9838485717773,19.2499124626067,2.60299259103173,5262382.0
Israel,6.2,5.2453220351346,97.3821241260262,2777.87532368349,58471.8,3.5,509901495702.103,96.2489776611328,15.7097053375557,2.06280419087907,9756700.0
Italy,17.5,6.32722059410873,79.9484547354947,2481.75464546017,281286.8,3.5,2254851212731.8,101.617156982422,26.8712579854071,-0.304633382751779,58761146.0
Jamaica,10.5,0.569707729933871,80.9713448083227,1008.63983784772,5835.6,2.75,19423355367.2372,90.7408676147461,17.1763687996707,-0.0648514304106601,2825544.0
Japan,8.8,3.09202073923516,93.0264551074629,3428.55721600428,1014064.7,3.5,4212945159781.4,102.218322753906,23.5516575956172,-0.487370782049143,124516650.0
Jordan,11.5,1.91772585795846,97.6084466505233,944.744333177101,20974.1,3.5,50813642348.6746,87.5580368041992,18.2445478311613,0.452488759778546,11337052.0
Kazakhstan,2.0,0.60888813034448,99.1739073129022,4434.63912123152,211896.7,3.25,261421121085.572,100.523002624512,21.508748349175,1.34158039345206,19900177.0
Kenya,67.7,2.23894077499308,17.3795726114892,515.58168167853,19446.8,4.0,107440575838.048,97.1859970092773,15.5799122226502,1.96674157342146,55100586.0
"Korea, Dem. People's Rep.",14.7,7.01144551735973,62.0519947635667,474.054720163642,52437.2,3.5,870323192877.6376,93.1532287597656,12.9863745780894,0.35000834215513,26160821.0
"Korea, Rep.",3.6,15.9628201690884,81.0284758071445,5413.34785665856,569681.8,3.0,1712792854202.37,99.0333633422852,24.4572796744967,0.077477253324535,51712619.0
Kosovo,24.6267270531401,0.519176378508478,86.1215820047413,1219.32665515942,28142.15,3.5,10438351483.1677,114.173412322998,13.8432822809978,-0.66461489766678,1756374.0
Kuwait,0.1,0.0,93.6898894512707,9006.50497237334,92308.9,2.75,161772221950.942,101.933448791504,25.1586587791191,0.96131038288673,4310108.0
Kyrgyz Republic,27.6,22.7125830672669,75.4762189566472,650.40150801131,9080.1,3.0,13987627908.8381,96.1800003051758,24.5669546459927,1.78894630690457,7100800.0
Latvia,44.0,6.84384598600371,56.7174275733725,2176.84330583785,6928.3,3.5,43627078481.287,99.41796875,23.6691358191191,0.125866344662112,1881750.0
Lebanon,6.8,0.523449394052419,97.6211011078068,1194.33001898845,21474.9,3.0,17937256175.141,83.5560989379883,20.4318191476862,-2.50498427319778,5353930.0
Libya,3.1,0.0,99.1112963634113,2930.37316629505,44467.0,3.5,50491722445.7773,106.919326782227,22.7692443695571,1.1101275120524,6888388.0
Lithuania,33.2,3.80511456042233,67.9937494705635,2387.27519440779,11693.8,3.5,77836396962.772,101.434379577637,25.7446530098552,1.41170910782706,2871897.0
Luxembourg,20.5,3.71309534214227,80.562295207665,6548.40555894973,7853.1,3.0,85755006123.5976,98.4758377075195,9.11830869023959,2.34600975458798,668606.0
Malaysia,7.5,1.18068772456147,96.6281988978081,2930.84832191793,245139.3,3.5,399648828546.504,97.754997253418,28.1338675856663,1.08520231604055,34308525.0
Malta,8.6,1.46656264087723,97.7884616626645,1781.50442518605,1610.7,3.25,20956999452.4317,93.5346603393555,17.1561615803047,4.07701021450296,553214.0
Mauritius,8.6,0.80457846628087,84.5423603034044,1111.18070928824,3720.2,3.25,14397127281.3829,102.881149291992,21.4628133132448,-0.117452949112512,1261041.0
Mexico,13.0,3.51721073584162,90.4262079109407,1559.11899782985,383131.4,3.0,1788886821046.81,102.004783630371,25.0269994052711,0.743434542137949,128455567.0
Moldova,21.4,0.767238068929922,88.6880222394062,1155.26267445583,8611.2,4.0,16539436547.295,106.542778015137,12.6796857383105,-2.06952171753803,2486891.0
Mongolia,3.0,0.259410425016945,93.1993828259583,1851.58413034484,21184.7,3.5,19872180369.6275,95.5630035400391,22.0809216619565,1.42551054825547,3447157.0
Montenegro,39.6,12.9572960184337,64.6646970020115,1538.26409996623,2527.2,4.0,7404541964.50779,100.693969726562,18.4874772917475,-0.167992320943883,616177.0
Morocco,10.9,1.61676234508113,88.4688628123422,554.226022007379,66719.5,2.75,141109373209.414,114.169990539551,23.9551234891988,1.01483758667745,37840044.0
Mozambique,76.9,9.17019673478017,12.6199534718635,446.872087028602,6945.5,3.5,20624597846.5495,121.177581787109,9.08160989329672,2.77535206169073,33897354.0
Myanmar,62.9,3.12653493147673,44.2898952399838,378.070648519683,33874.6,2.0,64815031669.0952,118.851997375488,18.7853504888887,0.733178876221607,54577997.0
Namibia,30.0,17.785332290757,66.7190908320656,805.074540760347,3952.8,2.25,12351024843.7467,132.985992431641,16.5781978166068,1.4372197796667,2604172.0
Nepal,73.7,5.24324797182476,15.4826794026705,425.666370962227,14949.2,3.5,40908073366.8455,122.984001159668,17.4569581402028,1.13603537496157,30896590.0
Netherlands,12.2,3.37380480632713,93.4610046096056,4233.04385740124,130315.1,3.0,1118124749886.29,104.378402709961,14.027621260572,1.00340157218113,17879488.0
New Zealand,28.9,13.9876097391326,59.7491685361223,4431.51473076756,31359.7,3.25,253465703232.146,97.9169464111328,20.7728581178517,2.04836808947608,5223100.0
Nicaragua,50.4,3.34174918847901,40.6953920569917,589.911117925947,4582.2,2.5,17829215283.7997,107.180000305176,18.1763456020531,1.39938096442621,7046310.0
Niger,79.6,0.0119184142965537,24.0603681542742,148.99276864037,2197.95,3.5,16819170420.5653,64.9660034179688,7.37081551552738,3.72576598230791,27202843.0
Nigeria,80.3,0.274463995659247,18.876766756621,750.970916241396,111978.1,3.0,362814951696.073,86.7234268188477,14.5602960093505,2.37988826918731,223804632.0
North Macedonia,19.5,5.52938174692284,79.4259146649485,1367.86285883549,6796.7,2.25,14761237042.2057,91.3753128051758,30.4006911841419,-1.0830878621445,1811980.0
Norway,61.4,31.3179314225439,56.9516286499811,5817.63660265655,36177.4,3.5,485513316503.63,98.9731903076172,19.3440558388993,1.13818460655469,5519594.0
Oman,0.1,0.0,99.963168651853,6067.7183634814,71041.5,3.0,108192457737.321,90.096809387207,46.8870441010881,1.47683734209876,4644384.0
Pakistan,41.6,4.03213940610342,61.5853614511118,431.626863440414,184111.2,3.0,338368455317.876,84.3679962158203,25.517039744416,1.9571034315941,240485658.0
Panama,28.0,8.85658059549827,80.7126619635031,1083.34616936412,9582.7,3.0,83382400000.0,101.456001281738,16.7051808074151,1.34074838442305,4468087.0
Paraguay,58.8,16.2964380107799,33.7033120450933,848.496425956796,7575.7,3.5,42956263543.9482,90.6060028076172,18.74360732744,1.18427440537002,6861524.0
Peru,30.6,7.18231926435614,79.5556835734868,783.354990590846,46578.9,3.0,267603248655.253,107.360000610352,17.45366511448,0.886323861618286,34352719.0
Philippines,28.0,2.90636149038805,62.4348962921868,470.496653640983,133471.3,3.5,437146372729.942,91.8720016479492,18.9088611076501,1.52719727728693,117337368.0
Poland,15.2,1.14302403851018,90.2913754356553,2490.20641907427,279223.8,3.5,811229100687.566,100.108032226562,30.8341339972151,-0.369758116260503,36685849.0
Portugal,32.3,8.04425464477711,77.024122555839,2131.68188764014,38973.5,3.0,287080013574.497,104.925727844238,24.0018561405552,1.10479001213844,10525347.0
